Entity,average_probability,bins
UCLA,0.1835319340025307,Bin 4 (Highest)
the stadium,0.1831940503077985,Bin 4 (Highest)
equipment,0.181585731357336,Bin 4 (Highest)
Oklahoma State,0.1796099528923144,Bin 4 (Highest)
a contract,0.1784118875469994,Bin 4 (Highest)
The foundation stone,0.1777620328182904,Bin 4 (Highest)
The results,0.1771590552539207,Bin 4 (Highest)
We,0.1769690881615133,Bin 4 (Highest)
Rome,0.1754051613199407,Bin 4 (Highest)
the UEFA,0.1745638805667137,Bin 4 (Highest)
the poverty line,0.1743265378834626,Bin 4 (Highest)
troops,0.1726239103591069,Bin 4 (Highest)
The city,0.1720475008166531,Bin 4 (Highest)
No one,0.1717390920750015,Bin 4 (Highest)
hand,0.1707248385064303,Bin 4 (Highest)
road,0.1706921659992076,Bin 4 (Highest)
descent,0.1704318150877952,Bin 4 (Highest)
shopping,0.1702279733493923,Bin 4 (Highest)
the latter,0.168093912222352,Bin 4 (Highest)
Chicago,0.1668377900961786,Bin 4 (Highest)
Haiti,0.1663828805321827,Bin 4 (Highest)
California,0.1663445369282271,Bin 4 (Highest)
CBS,0.1655528225295711,Bin 4 (Highest)
Ferrari,0.1654973771335789,Bin 4 (Highest)
the victims,0.1644731084155408,Bin 4 (Highest)
the wreckage,0.1638225324427447,Bin 4 (Highest)
Angola,0.1622342500020749,Bin 4 (Highest)
Sunday,0.1621662834892049,Bin 4 (Highest)
The company,0.159141615645922,Bin 4 (Highest)
the game,0.1582064038788399,Bin 4 (Highest)
Next day,0.1575644232736594,Bin 4 (Highest)
a road,0.1572601627658214,Bin 4 (Highest)
peace,0.1569327788660302,Bin 4 (Highest)
the pool,0.1564984952999967,Bin 4 (Highest)
music,0.1564389277948066,Bin 4 (Highest)
The explosion,0.1561300308344021,Bin 4 (Highest)
the mother,0.1550160888958579,Bin 4 (Highest)
his way,0.1548578636754744,Bin 4 (Highest)
Douglas,0.1544604536562587,Bin 4 (Highest)
the demand,0.1533022223911007,Bin 4 (Highest)
a plan,0.1528342421906096,Bin 4 (Highest)
Democrats,0.1525386163673829,Bin 4 (Highest)
Today,0.152169640827924,Bin 4 (Highest)
religions,0.1518180072220274,Bin 4 (Highest)
television,0.1508590693632868,Bin 4 (Highest)
The two countries,0.1495282996188044,Bin 4 (Highest)
morning,0.1490535201271995,Bin 4 (Highest)
prices,0.1485551487770862,Bin 4 (Highest)
a set,0.1484328145116475,Bin 4 (Highest)
he,0.1483871196724066,Bin 4 (Highest)
The video,0.1483658231001348,Bin 4 (Highest)
the years,0.1478737919493232,Bin 4 (Highest)
Iraq,0.1478024090174585,Bin 4 (Highest)
Norway,0.1467406741023296,Bin 4 (Highest)
the dismissal,0.1462300405371936,Bin 4 (Highest)
The show,0.146226923539875,Bin 4 (Highest)
Norman Conquest,0.1455962100428392,Bin 4 (Highest)
a house,0.1450224082052842,Bin 4 (Highest)
The race,0.1448773111399739,Bin 4 (Highest)
cash,0.1444758470635861,Bin 4 (Highest)
Orders,0.1439187976681921,Bin 4 (Highest)
goods,0.1438774039968847,Bin 4 (Highest)
unemployment,0.143088024292956,Bin 4 (Highest)
the stock,0.1427453920725699,Bin 4 (Highest)
The train,0.1422383886859352,Bin 4 (Highest)
funds,0.1407801769004436,Bin 4 (Highest)
the tradition,0.1399153602013252,Bin 4 (Highest)
the island,0.1396746412512614,Bin 4 (Highest)
Food,0.138886347785592,Bin 4 (Highest)
the investigation,0.1378263864600982,Bin 4 (Highest)
Saturday,0.1377370628761127,Bin 4 (Highest)
the building,0.137594292899964,Bin 4 (Highest)
the border,0.1374107601736725,Bin 4 (Highest)
the board,0.1368495542375404,Bin 4 (Highest)
home,0.1359960816218517,Bin 4 (Highest)
justice,0.1359404098591767,Bin 4 (Highest)
